カテゴリ,料理名,単位,糖質[g]
乳類・乳製品,生クリーム・乳脂肪,100g（1/2カップ）,3.1
乳類・乳製品,生クリーム・植物性脂肪,100g（1/2カップ）,2.9
乳類・乳製品,ヨーグルト・全脂無糖,80g（小カップ1個）,3.9
乳類・乳製品,ヨーグルト・無脂肪無糖,80g（小カップ1個）,4.6
乳類・乳製品,ヨーグルト・ドリンクタイプ,100g,12.2
乳類・乳製品,ナチュラルチーズ・カッテージ,20g,0.4
乳類・乳製品,ナチュラルチーズ・カマンベール,20g,0.2
乳類・乳製品,ナチュラルチーズ・クリーム,20g,0.5
乳類・乳製品,ナチュラルチーズ・チェダー,20g,0.3
乳類・乳製品,ナチュラルチーズ・パルメザン,6g（大さじ1）,0.1
乳類・乳製品,ナチュラルチーズ・マスカルポーネ,20g,0.9
乳類・乳製品,ナチュラルチーズ・モッツァレラ,20g,0.8
乳類・乳製品,ナチュラルチーズ・リコッタ,20g,1.3
乳類・乳製品,プロセスチーズ,20g,0.3
乳類・乳製品,アイスクリーム,90g（小カップ1個）,20.2
乳類・乳製品,ラクトアイス,90g（小カップ1個）,20.0
乳類・乳製品,ソフトクリーム,100g（1個分）,20.1
,,,
,,,
油脂類,植物油（オリーブ、ごま、サラダ油など）,12g（大さじ1）,0.0
油脂類,動物油脂（ラード、牛脂　など）,12g（大さじ1）,0.0
油脂類,無塩バター,10g,0.0
油脂類,有塩バター,10g,0.0
油脂類,マーガリン,10g,0.0
,,,
,,,
菓子類,カステラ,50g（1切）,31.3
菓子類,みたらし団子,60g（1串）,26.9
菓子類,さくら餅（関西風）,50g（1個）,22.2
菓子類,どら焼,100g（1個）,55.6
菓子類,中華まん（あんまん）,100g（1個）,48.5
菓子類,ようかん,50g（1切）,33.5
菓子類,芋けんぴ,40g（約1食分）,27.5
菓子類,せんべい（甘辛）,10g（1枚）,8.6
菓子類,ボーロ,10g（1袋）,9.0
菓子類,シュークリーム,60g（1個）,15.2
菓子類,ショートケーキ,100g（1個）,43.0
菓子類,ベイクドチーズケーキ,100g（1個）,23.1
菓子類,アップルパイ,100g（1片）,31.4
菓子類,プリン,100g（1個）,14.7
菓子類,コーヒーゼリー,100g（1個）,10.4
菓子類,ウエハース,7g（1個）,5.2
菓子類,ハードビスケット,10g（1枚）,7.6
菓子類,ポテトチップス,60g（1袋）,30.3
菓子類,マシュマロ,4g（1個）,3.2
菓子類,ミルクチョコレート,40g（約1食分）,20.8
菓子類,ホワイトチョコレート,40g（約1食分）,20.1
菓子類,ラカントショコラ ビター,40g（1袋）,4.7
菓子類,ラカントショコラ ミルク,40g（1袋）,5.9
菓子類,ラカントショコラ ホワイト,40g（1袋）,6.8
菓子類,ドロップ,3g（1粒）,3.0
菓子類,ラカントカロリーゼロ飴 各種,3g（1粒）,0.0
菓子類,ロカボスタイル 低糖質カップケーキミックス粉プレーン,70g（1食）,3.6
